ecommerce-loki  | level=info ts=2026-03-13T16:31:35.879073372Z caller=table_manager.go:116 index-store=boltdb-shipper-2024-01-01 msg="stopping table manager"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.879162974Z caller=table_manager.go:187 index-store=boltdb-shipper-2024-01-01 msg="handing over indexes to shipper"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.879276543Z caller=table.go:318 msg="handing over indexes to shipper index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.879284189Z caller=table.go:334 msg="finished handing over table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.879306609Z caller=table_manager.go:77 index-store=boltdb-shipper-2024-01-01 msg="stopping table manager"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.879350023Z caller=table_manager.go:136 index-store=boltdb-shipper-2024-01-01 msg="uploading tables"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.879362234Z caller=index_set.go:86 msg="uploading table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.899445196Z caller=index_set.go:107 msg="finished uploading table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.899482128Z caller=index_set.go:186 msg="cleaning up unwanted indexes from table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:35.899727684Z caller=module_service.go:120 msg="module stopped" module=store
ecommerce-loki  | level=error ts=2026-03-13T16:31:36.595740442Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:37.314014837Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:38.031930838Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=warn ts=2026-03-13T16:31:38.086388949Z caller=logging.go:144 orgID=fake msg="POST /loki/api/v1/push (500) 3.358759ms Response: \"empty ring\\n\""
ecommerce-loki  | level=error ts=2026-03-13T16:31:38.749833999Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=warn ts=2026-03-13T16:31:38.787523344Z caller=logging.go:144 orgID=fake msg="POST /loki/api/v1/push (500) 595.876µs Response: \"empty ring\\n\""
ecommerce-loki  | level=error ts=2026-03-13T16:31:39.467555793Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=warn ts=2026-03-13T16:31:40.009871885Z caller=logging.go:144 orgID=fake msg="POST /loki/api/v1/push (500) 737.901µs Response: \"empty ring\\n\""
ecommerce-loki  | level=error ts=2026-03-13T16:31:40.184914583Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:40.903140426Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:41.620655711Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:42.338991298Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:42.341311432Z caller=loki.go:615 msg="module failed" module=query-scheduler-ring error="starting module query-scheduler-ring: context canceled"
ecommerce-loki  | level=info ts=2026-03-13T16:31:42.341486645Z caller=module_service.go:120 msg="module stopped" module=memberlist-kv
ecommerce-loki  | level=info ts=2026-03-13T16:31:42.342614013Z caller=modules.go:2369 msg="server stopped"
ecommerce-loki  | level=info ts=2026-03-13T16:31:42.342647026Z caller=module_service.go:120 msg="module stopped" module=server
ecommerce-loki  | level=info ts=2026-03-13T16:31:42.342761916Z caller=loki.go:599 msg="Loki stopped" running_time=6.754802797s
ecommerce-loki  | failed services
ecommerce-loki  | github.com/grafana/loki/v3/pkg/loki.(*Loki).Run
ecommerce-loki  | 	/src/loki/pkg/loki/loki.go:657
ecommerce-loki  | main.main
ecommerce-loki  | 	/src/loki/cmd/loki/main.go:136
ecommerce-loki  | runtime.main
ecommerce-loki  | 	/usr/local/go/src/runtime/proc.go:283
ecommerce-loki  | runtime.goexit
ecommerce-loki  | 	/usr/local/go/src/runtime/asm_amd64.s:1700
ecommerce-loki  | level=error ts=2026-03-13T16:31:42.361864934Z caller=log.go:223 msg="error running loki" err="failed services\ngithub.com/grafana/loki/v3/pkg/loki.(*Loki).Run\n\t/src/loki/pkg/loki/loki.go:657\nmain.main\n\t/src/loki/cmd/loki/main.go:136\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:283\nruntime.goexit\n\t/usr/local/go/src/runtime/asm_amd64.s:1700"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.439526332Z caller=main.go:133 msg="Starting Loki" version="(version=3.6.7, branch=release-3.6.x, revision=7e1daf3a)"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.439607145Z caller=main.go:134 msg="Loading configuration file" filename=/etc/loki/local-config.yaml
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.447505111Z caller=server.go:386 msg="server listening on addresses" http=[::]:3100 grpc=[::]:9095
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.457068114Z caller=table_manager.go:300 index-store=boltdb-shipper-2024-01-01 msg="query readiness setup completed" duration=2.988µs distinct_users_len=0 distinct_users=
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.45710948Z caller=shipper.go:165 index-store=boltdb-shipper-2024-01-01 msg="starting index shipper in RW mode"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.457268051Z caller=table_manager.go:136 index-store=boltdb-shipper-2024-01-01 msg="uploading tables"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.457414481Z caller=table_manager.go:256 index-store=boltdb-shipper-2024-01-01 msg="loading table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.457783708Z caller=table.go:318 msg="handing over indexes to shipper index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.457809677Z caller=table.go:334 msg="finished handing over table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.457864042Z caller=index_client.go:91 index-store=boltdb-shipper-2024-01-01 msg="starting boltdb shipper in RW mode"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.458014666Z caller=table_manager.go:187 index-store=boltdb-shipper-2024-01-01 msg="handing over indexes to shipper"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.458075722Z caller=table.go:318 msg="handing over indexes to shipper index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.458084843Z caller=table.go:334 msg="finished handing over table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.460872037Z caller=worker.go:134 component=querier msg="Starting querier worker using query-scheduler and scheduler ring for addresses"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.461876934Z caller=mapper.go:47 msg="cleaning up mapped rules directory" path=/loki/rules-temp
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.495070263Z caller=module_service.go:82 msg=starting module=server
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.495099339Z caller=module_service.go:82 msg=starting module=cache-generation-loader
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.495170528Z caller=module_service.go:82 msg=starting module=query-frontend-tripperware
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.495198355Z caller=module_service.go:82 msg=starting module=memberlist-kv
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.495223782Z caller=module_service.go:82 msg=starting module=query-scheduler-ring
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.49533163Z caller=module_service.go:82 msg=starting module=store
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.495322172Z caller=module_service.go:82 msg=starting module=ring
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.496850516Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.49721018Z caller=loki.go:615 msg="module failed" module=ring error="starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.497283859Z caller=loki.go:615 msg="module failed" module=distributor error="failed to start distributor, because it depends on module analytics, which has failed: context canceled"
